No,DateTime,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
456,2025.02.28 10:15:46,ON,ON,55.105,0,0,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,3.941,17,17,17,17,OFF,OFF,0,0
457,2025.02.28 10:15:47,ON,ON,54.961,-1.193,0,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,3.928,17,17,17,17,OFF,OFF,0,0
458,2025.02.28 10:15:53,ON,ON,54.692,-2.278,0,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,17,17,17,17,OFF,OFF,0,0
459,2025.02.28 10:15:54,ON,ON,54.688,-2.285,0,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,17,17,17,17,OFF,OFF,0,0
460,2025.02.28 10:15:55,ON,ON,54.687,-2.269,0,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,17,17,17,17,OFF,OFF,0,0
461,2025.02.28 10:15:56,ON,ON,54.679,-2.278,0,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,3.913,17,17,17,17,OFF,OFF,0,0
462,2025.02.28 10:15:57,ON,ON,54.677,-2.275,0,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,17,17,17,17,OFF,OFF,0,0
463,2025.02.28 10:15:58,ON,ON,54.672,-2.275,0,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,17,17,17,17,OFF,OFF,0,0
464,2025.02.28 10:15:59,ON,ON,54.67,-2.272,0,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,3.912,17,17,17,17,OFF,OFF,0,0
465,2025.02.28 10:16:00,ON,ON,54.665,-2.278,0,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,17,17,17,17,OFF,OFF,0,0
466,2025.02.28 10:16:01,ON,ON,54.659,-2.285,0,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,3.911,17,17,17,17,OFF,OFF,0,0
467,2025.02.28 10:16:02,ON,ON,54.65,-2.294,0,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,17,17,17,17,OFF,OFF,0,0
468,2025.02.28 10:16:04,ON,ON,54.635,-2.348,0,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,3.91,17,17,17,17,OFF,OFF,0,0
469,2025.02.28 10:16:05,ON,ON,54.631,-2.345,0,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,3.909,17,17,17,17,OFF,OFF,0,0
470,2025.02.28 10:16:08,ON,ON,54.997,0,0,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,17,17,17,17,OFF,OFF,0,0
471,2025.02.28 10:16:08,ON,ON,55.001,0,0,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,3.933,17,17,17,17,OFF,OFF,0,0
