No,DateTime,Cargo,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
978,2025.03.02 17:00:59,4,ON,ON,52.801,0,0,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,19,19,19,19,OFF,OFF,0,0
979,2025.03.02 17:01:00,4,ON,ON,52.807,0,0,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,3.777,19,19,19,19,OFF,OFF,0,0
980,2025.03.02 17:01:01,4,ON,ON,52.561,-1.726,0,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,3.761,19,19,19,19,OFF,OFF,0,0
981,2025.03.02 17:01:02,4,ON,ON,52.514,-2.199,0,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,3.758,19,19,19,19,OFF,OFF,0,0
982,2025.03.02 17:01:03,4,ON,ON,52.437,-2.167,0,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,3.748,19,19,19,19,OFF,OFF,0,0
983,2025.03.02 17:01:04,4,ON,ON,52.32,-3.034,0,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,3.754,19,19,19,19,OFF,OFF,0,0
984,2025.03.02 17:01:05,4,ON,ON,52.299,-3.545,0,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,3.746,19,19,19,19,OFF,OFF,0,0
985,2025.03.02 17:01:06,4,ON,ON,52.21,-3.919,0,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,19,19,19,19,OFF,OFF,0,0
986,2025.03.02 17:01:07,4,ON,ON,52.259,-3.814,0,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,3.744,19,19,19,19,OFF,OFF,0,0
987,2025.03.02 17:01:08,4,ON,ON,52.165,-4.056,0,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,19,19,19,19,OFF,OFF,0,0
988,2025.03.02 17:01:09,4,ON,ON,52.125,-4.214,0,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,19,19,19,19,OFF,OFF,0,0
989,2025.03.02 17:01:10,4,ON,ON,52.164,-3.678,0,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,19,19,19,19,OFF,OFF,0,0
990,2025.03.02 17:01:11,4,ON,ON,52.146,-3.684,0,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,19,19,19,19,OFF,OFF,0,0
991,2025.03.02 17:01:12,4,ON,ON,52.13,-4.56,0,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,3.734,19,19,19,19,OFF,OFF,0,0
992,2025.03.02 17:01:13,4,ON,ON,52.157,-4.319,0,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,3.738,19,19,19,19,OFF,OFF,0,0
993,2025.03.02 17:01:14,4,ON,ON,52.065,-4.57,0,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,19,19,19,19,OFF,OFF,0,0
994,2025.03.02 17:01:15,4,ON,ON,52.052,-4.709,0,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,19,19,19,19,OFF,OFF,0,0
995,2025.03.02 17:01:16,4,ON,ON,52.096,-4.329,0,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,19,19,19,19,OFF,OFF,0,0
996,2025.03.02 17:01:17,4,ON,ON,52.109,-3.83,0,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,19,19,19,19,OFF,OFF,0,0
997,2025.03.02 17:01:18,4,ON,ON,52.078,-4.16,0,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,19,19,19,19,OFF,OFF,0,0
998,2025.03.02 17:01:19,4,ON,ON,52.071,-4.541,0,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,19,19,19,19,OFF,OFF,0,0
999,2025.03.02 17:01:20,4,ON,ON,52.071,-4.541,0,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,19,19,19,19,OFF,OFF,0,0
1000,2025.03.02 17:01:21,4,ON,ON,52.151,-3.954,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1001,2025.03.02 17:01:22,4,ON,ON,52.087,-4.059,0,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,3.735,19,19,19,19,OFF,OFF,0,0
1002,2025.03.02 17:01:23,4,ON,ON,52.142,-3.827,0,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,3.739,19,19,19,19,OFF,OFF,0,0
1003,2025.03.02 17:01:24,4,ON,ON,52.106,-4.316,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1004,2025.03.02 17:01:25,4,ON,ON,52.036,-3.967,0,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,19,19,19,19,OFF,OFF,0,0
1005,2025.03.02 17:01:26,4,ON,ON,52.106,-3.795,0,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,19,19,19,19,OFF,OFF,0,0
1006,2025.03.02 17:01:27,4,ON,ON,51.985,-3.897,0,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,19,19,19,19,OFF,OFF,0,0
1007,2025.03.02 17:01:28,4,ON,ON,51.812,-5.478,0,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,3.715,19,19,19,19,OFF,OFF,0,0
1008,2025.03.02 17:01:29,4,ON,ON,51.797,-5.912,0,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,3.705,19,19,19,19,OFF,OFF,0,0
1009,2025.03.02 17:01:30,4,ON,ON,51.884,-4.802,0,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,3.708,19,19,19,19,OFF,OFF,0,0
1010,2025.03.02 17:01:31,4,ON,ON,51.938,-4.913,0,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,3.722,19,19,19,19,OFF,OFF,0,0
1011,2025.03.02 17:01:32,4,ON,ON,51.859,-5.928,0,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,3.71,19,19,19,19,OFF,OFF,0,0
1012,2025.03.02 17:01:33,4,ON,ON,51.768,-6.004,0,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,3.709,19,19,19,19,OFF,OFF,0,0
1013,2025.03.02 17:01:34,4,ON,ON,51.883,-5.024,0,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,19,19,19,19,OFF,OFF,0,0
1014,2025.03.02 17:01:35,4,ON,ON,52.088,-3.716,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1015,2025.03.02 17:01:36,4,ON,ON,52.009,-4.519,0,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,3.729,19,19,19,19,OFF,OFF,0,0
1016,2025.03.02 17:01:37,4,ON,ON,51.97,-4.379,0,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,19,19,19,19,OFF,OFF,0,0
1017,2025.03.02 17:01:38,4,ON,ON,51.97,-4.379,0,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,3.723,19,19,19,19,OFF,OFF,0,0
1018,2025.03.02 17:01:39,4,ON,ON,52.019,-4.364,0,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,3.733,19,19,19,19,OFF,OFF,0,0
1019,2025.03.02 17:01:40,4,ON,ON,52.032,-3.945,0,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,3.732,19,19,19,19,OFF,OFF,0,0
1020,2025.03.02 17:01:41,4,ON,ON,52.026,-3.538,0,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,3.724,19,19,19,19,OFF,OFF,0,0
1021,2025.03.02 17:01:42,4,ON,ON,52.066,-4.021,0,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,3.737,19,19,19,19,OFF,OFF,0,0
1022,2025.03.02 17:01:43,4,ON,ON,52.033,-4.151,0,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,19,19,19,19,OFF,OFF,0,0
1023,2025.03.02 17:01:44,4,ON,ON,51.984,-4.544,0,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,3.73,19,19,19,19,OFF,OFF,0,0
1024,2025.03.02 17:01:45,4,ON,ON,52.022,-4.214,0,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,19,19,19,19,OFF,OFF,0,0
1025,2025.03.02 17:01:46,4,ON,ON,51.989,-4.395,0,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,19,19,19,19,OFF,OFF,0,0
1026,2025.03.02 17:01:47,4,ON,ON,52.006,-3.58,0,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,3.712,19,19,19,19,OFF,OFF,0,0
1027,2025.03.02 17:01:48,4,ON,ON,52.087,-3.964,0,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,3.731,19,19,19,19,OFF,OFF,0,0
1028,2025.03.02 17:01:49,4,ON,ON,52.056,-3.58,0,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,3.725,19,19,19,19,OFF,OFF,0,0
1029,2025.03.02 17:01:50,4,ON,ON,52.043,-3.732,0,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,19,19,19,19,OFF,OFF,0,0
1030,2025.03.02 17:01:51,4,ON,ON,52.069,-3.402,0,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,3.736,19,19,19,19,OFF,OFF,0,0
1031,2025.03.02 17:01:52,4,ON,ON,52.027,-3.948,0,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,3.718,19,19,19,19,OFF,OFF,0,0
1032,2025.03.02 17:01:53,4,ON,ON,52.078,-4.091,0,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,3.726,19,19,19,19,OFF,OFF,0,0
1033,2025.03.02 17:01:54,4,ON,ON,52.065,-3.513,0,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,3.728,19,19,19,19,OFF,OFF,0,0
