No,DateTime,cargo,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
333,2025.03.02 16:49:35,8,ON,ON,53.336,0,0,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,19,19,19,19,OFF,OFF,0,0
334,2025.03.02 16:49:36,8,ON,ON,53.341,0,0,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,3.815,19,19,19,19,OFF,OFF,0,0
335,2025.03.02 16:49:37,8,ON,ON,53.347,0,0,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,3.816,19,19,19,19,OFF,OFF,0,0
336,2025.03.02 16:49:38,8,ON,ON,53.016,-2.361,0,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,19,19,19,19,OFF,OFF,0,0
337,2025.03.02 16:49:39,8,ON,ON,53.072,-1.869,0,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,3.798,19,19,19,19,OFF,OFF,0,0
338,2025.03.02 16:49:40,8,ON,ON,53.038,-2.304,0,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,3.791,19,19,19,19,OFF,OFF,0,0
339,2025.03.02 16:49:41,8,ON,ON,52.844,-3.361,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
340,2025.03.02 16:49:42,8,ON,ON,52.82,-3.472,0,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,3.781,19,19,19,19,OFF,OFF,0,0
341,2025.03.02 16:49:43,8,ON,ON,52.707,-4.049,0,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,3.773,19,19,19,19,OFF,OFF,0,0
342,2025.03.02 16:49:44,8,ON,ON,52.903,-2.812,0,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,3.789,19,19,19,19,OFF,OFF,0,0
343,2025.03.02 16:49:45,8,ON,ON,52.819,-3.497,0,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,3.78,19,19,19,19,OFF,OFF,0,0
