No,DateTime,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
0,02.28 [09:50:53],OFF,OFF,56.016,1.047,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.997,3.999,3.989,17,20,18,22,,,,
1,02.28 [09:50:54],OFF,OFF,56.015,1.041,0,4.004,4.007,4.007,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.997,3.999,3.989,17,20,18,22,,,,
2,02.28 [09:50:55],OFF,OFF,56.013,1.031,0,4.004,4.007,4.007,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
3,02.28 [09:50:56],OFF,OFF,56.014,1.028,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
4,02.28 [09:50:57],OFF,OFF,56.014,1.025,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
5,02.28 [09:50:58],OFF,OFF,56.015,1.021,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.996,3.999,3.989,17,20,18,22,,,,
6,02.28 [09:50:59],OFF,OFF,56.013,1.021,0,4.004,4.007,4.007,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
7,02.28 [09:51:00],OFF,OFF,56.015,1.018,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
8,02.28 [09:51:01],OFF,OFF,56.014,1.025,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
9,02.28 [09:51:02],OFF,OFF,56.015,1.028,0,4.004,4.007,4.008,4.001,4.006,4.01,4.001,4.001,4,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
10,02.28 [09:51:03],OFF,OFF,56.016,1.025,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,4,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
11,02.28 [09:51:04],OFF,OFF,56.016,1.021,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,4,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
12,02.28 [09:51:05],OFF,OFF,56.018,1.018,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,4,4,3.994,3.997,3.999,3.989,17,20,18,22,,,,
13,02.28 [09:51:06],OFF,OFF,56.018,1.018,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,4,4,3.994,3.997,3.999,3.989,17,20,18,22,,,,
14,02.28 [09:51:07],OFF,OFF,56.018,1.015,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,4,4,3.994,3.996,4,3.989,17,20,18,22,,,,
15,02.28 [09:51:08],OFF,OFF,56.014,1.012,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
16,02.28 [09:51:09],OFF,OFF,56.016,1.002,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,3.999,4,3.994,3.996,3.999,3.989,17,20,18,22,,,,
17,02.28 [09:51:10],OFF,OFF,56.018,1.002,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4,4,4,3.994,3.997,4,3.989,17,20,18,22,,,,
18,02.28 [09:51:11],OFF,OFF,56.015,0.993,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
19,02.28 [09:51:12],OFF,OFF,56.015,0.993,0,4.004,4.007,4.008,4.001,4.006,4.01,4.002,4.001,3.999,4,3.994,3.995,3.999,3.989,17,20,18,22,,,,
20,02.28 [09:51:13],OFF,OFF,56.026,1.028,0,4.005,4.008,4.008,4.002,4.006,4.01,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
21,02.28 [09:51:14],OFF,OFF,56.026,1.025,0,4.005,4.008,4.008,4.002,4.006,4.011,4.003,4.001,4,4.001,3.995,3.997,4,3.989,17,20,18,22,,,,
22,02.28 [09:51:15],OFF,OFF,56.027,1.021,0,4.005,4.008,4.008,4.002,4.006,4.011,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
23,02.28 [09:51:16],OFF,OFF,56.026,1.018,0,4.005,4.008,4.008,4.002,4.006,4.01,4.003,4.002,4,4.001,3.995,3.997,4,3.989,17,20,18,22,,,,
24,02.28 [09:51:17],OFF,OFF,56.025,1.015,0,4.004,4.008,4.008,4.002,4.006,4.011,4.003,4.001,4,4.001,3.995,3.997,4,3.989,17,20,18,22,,,,
25,02.28 [09:51:18],OFF,OFF,56.027,1.021,0,4.005,4.008,4.009,4.002,4.006,4.01,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
26,02.28 [09:51:19],OFF,OFF,56.027,1.015,0,4.005,4.008,4.009,4.002,4.006,4.01,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
27,02.28 [09:51:20],OFF,OFF,56.027,1.012,0,4.005,4.008,4.009,4.002,4.006,4.01,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
28,02.28 [09:51:21],OFF,OFF,56.028,1.018,0,4.005,4.008,4.009,4.002,4.006,4.01,4.003,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
29,02.28 [09:51:22],OFF,OFF,56.029,1.018,0,4.005,4.008,4.009,4.002,4.006,4.011,4.003,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
30,02.28 [09:51:23],OFF,OFF,56.03,1.012,0,4.005,4.008,4.009,4.002,4.007,4.011,4.003,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
31,02.28 [09:51:24],OFF,OFF,56.029,1.012,0,4.005,4.008,4.009,4.002,4.006,4.011,4.003,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
32,02.28 [09:51:25],OFF,OFF,56.03,1.009,0,4.005,4.008,4.009,4.002,4.007,4.011,4.003,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
33,02.28 [09:51:26],OFF,OFF,56.029,1.009,0,4.005,4.008,4.009,4.002,4.007,4.011,4.002,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
34,02.28 [09:51:27],OFF,OFF,56.029,1.006,0,4.005,4.008,4.009,4.002,4.006,4.011,4.003,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
35,02.28 [09:51:28],OFF,OFF,56.028,0.999,0,4.005,4.008,4.009,4.002,4.006,4.011,4.002,4.002,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
36,02.28 [09:51:29],OFF,OFF,56.029,0.987,0,4.005,4.008,4.009,4.002,4.007,4.011,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
37,02.28 [09:51:30],OFF,OFF,56.029,0.987,0,4.005,4.008,4.009,4.002,4.007,4.011,4.003,4.001,4,4.001,3.995,3.997,4,3.99,17,20,18,22,,,,
38,02.28 [09:51:31],OFF,OFF,56.029,0.983,0,4.005,4.008,4.009,4.002,4.007,4.011,4.003,4.002,4,4.001,3.995,3.997,4,3.989,17,20,18,22,,,,
