No,DateTime,Comment,Charging,Discharging,PackVolt,Current,Protect,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Temp01,Temp02,Temp03,Temp04,FAN0,FAN1,BAL0,BAL1
29,2025.02.28 15:10:21,charge,ON,ON,55.632,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
30,2025.02.28 15:10:22,charge,ON,ON,55.635,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
31,2025.02.28 15:10:23,charge,ON,ON,55.639,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
32,2025.02.28 15:10:24,charge,ON,ON,55.639,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
33,2025.02.28 15:10:25,charge,ON,ON,55.641,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
34,2025.02.28 15:10:26,charge,ON,ON,55.641,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
35,2025.02.28 15:10:27,charge,ON,ON,55.642,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
36,2025.02.28 15:10:28,charge,ON,ON,55.641,4.709,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
37,2025.02.28 15:10:29,charge,ON,ON,55.642,4.713,0,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,3.975,21,21,21,21,OFF,OFF,0,0
38,2025.02.28 15:10:30,charge,ON,ON,55.647,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
39,2025.02.28 15:10:31,charge,ON,ON,55.651,4.713,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
40,2025.02.28 15:10:32,charge,ON,ON,55.65,4.713,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
41,2025.02.28 15:10:33,charge,ON,ON,55.654,4.713,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
42,2025.02.28 15:10:34,charge,ON,ON,55.657,4.713,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
43,2025.02.28 15:10:35,charge,ON,ON,55.655,4.713,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
44,2025.02.28 15:10:36,charge,ON,ON,55.657,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
45,2025.02.28 15:10:37,charge,ON,ON,55.656,4.713,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
46,2025.02.28 15:10:38,charge,ON,ON,55.657,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
47,2025.02.28 15:10:40,charge,ON,ON,55.659,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
48,2025.02.28 15:10:40,charge,ON,ON,55.659,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
49,2025.02.28 15:10:41,charge,ON,ON,55.659,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
50,2025.02.28 15:10:42,charge,ON,ON,55.66,4.709,0,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,3.976,21,21,21,21,OFF,OFF,0,0
51,2025.02.28 15:10:43,charge,ON,ON,55.66,4.709,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
52,2025.02.28 15:10:44,charge,ON,ON,55.665,4.709,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
53,2025.02.28 15:10:45,charge,ON,ON,55.665,4.713,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
54,2025.02.28 15:10:46,charge,ON,ON,55.668,4.713,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
55,2025.02.28 15:10:47,charge,ON,ON,55.668,4.713,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
56,2025.02.28 15:10:48,charge,ON,ON,55.668,4.713,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
57,2025.02.28 15:10:49,charge,ON,ON,55.67,4.713,0,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,3.977,21,21,21,21,OFF,OFF,0,0
58,2025.02.28 15:10:50,charge,ON,ON,55.671,4.713,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
59,2025.02.28 15:10:51,charge,ON,ON,55.674,4.713,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
60,2025.02.28 15:10:52,charge,ON,ON,55.674,4.713,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
61,2025.02.28 15:10:53,charge,ON,ON,55.678,4.716,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
62,2025.02.28 15:10:54,charge,ON,ON,55.678,4.713,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
63,2025.02.28 15:10:55,charge,ON,ON,55.68,4.713,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
64,2025.02.28 15:10:56,charge,ON,ON,55.683,4.709,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
65,2025.02.28 15:10:57,charge,ON,ON,55.683,4.713,0,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,3.978,21,21,21,21,OFF,OFF,0,0
