Second,PackVolt,Current
2025-04-30 09:24:34,5334.0,0.0
2025-04-30 09:24:35,5333.8,0.0
2025-04-30 09:24:36,5333.0,0.0
2025-04-30 09:24:37,5331.8,0.0
2025-04-30 09:24:38,5324.6,-46.6
2025-04-30 09:24:39,5301.2,-237.8
2025-04-30 09:24:40,5299.0,-238.6
2025-04-30 09:24:41,5298.2,-234.8
2025-04-30 09:24:42,5297.4,-234.0
2025-04-30 09:24:43,5297.6,-231.0
2025-04-30 09:24:44,5296.2,-230.4
2025-04-30 09:24:45,5296.0,-229.2
2025-04-30 09:24:46,5295.0,-228.8
2025-04-30 09:24:47,5294.8,-230.0
2025-04-30 09:24:48,5294.0,-230.0
2025-04-30 09:24:49,5293.0,-230.0
2025-04-30 09:24:50,5292.8,-230.0
2025-04-30 09:24:51,5292.0,-230.0
2025-04-30 09:24:52,5295.6,-202.0
2025-04-30 09:24:53,5295.0,-201.8
2025-04-30 09:24:54,5295.0,-201.0
2025-04-30 09:24:55,5294.6,-201.0
2025-04-30 09:24:56,5294.0,-201.0
2025-04-30 09:24:57,5293.4,-201.0
2025-04-30 09:24:58,5301.4,-137.8
2025-04-30 09:24:59,5307.6,-93.8
2025-04-30 09:25:00,5278.4,-311.4
2025-04-30 09:25:01,5277.0,-309.6
2025-04-30 09:25:02,5276.8,-305.8
2025-04-30 09:25:03,5276.0,-305.0
2025-04-30 09:25:04,5275.0,-305.0
2025-04-30 09:25:05,5274.2,-305.0
2025-04-30 09:25:06,5274.0,-305.0
2025-04-30 09:25:07,5273.6,-305.0
2025-04-30 09:25:08,5272.8,-305.0
2025-04-30 09:25:09,5272.0,-305.0
2025-04-30 09:25:10,5271.6,-305.8
2025-04-30 09:25:11,5270.8,-308.0
2025-04-30 09:25:12,5270.0,-306.0
2025-04-30 09:25:13,5269.6,-305.2
2025-04-30 09:25:14,5269.0,-306.2
2025-04-30 09:25:15,5269.0,-303.6
2025-04-30 09:25:16,5269.0,-301.4
2025-04-30 09:25:17,5268.2,-304.4
2025-04-30 09:25:18,5267.4,-305.0
2025-04-30 09:25:19,5241.6,-491.4
2025-04-30 09:25:20,5244.4,-438.8
2025-04-30 09:25:21,5270.0,-221.2
2025-04-30 09:25:22,5305.0,0.0
