Second,PackVolt,Current
2025-04-30 09:40:00,5194.67,0.0
2025-04-30 09:40:01,5195.8,0.0
2025-04-30 09:40:02,5196.6,0.0
2025-04-30 09:40:03,5197.4,0.0
2025-04-30 09:40:04,5171.2,-207.0
2025-04-30 09:40:05,5161.8,-271.8
2025-04-30 09:40:06,5161.0,-277.4
2025-04-30 09:40:07,5153.6,-331.0
2025-04-30 09:40:08,5143.2,-403.2
2025-04-30 09:40:09,5139.2,-431.0
2025-04-30 09:40:10,5136.2,-444.6
2025-04-30 09:40:11,5139.8,-413.2
2025-04-30 09:40:12,5149.6,-338.6
2025-04-30 09:40:13,5154.4,-292.0
2025-04-30 09:40:14,5144.2,-370.8
2025-04-30 09:40:15,5152.2,-320.2
2025-04-30 09:40:16,5160.0,-259.0
2025-04-30 09:40:17,5152.2,-322.6
2025-04-30 09:40:18,5143.6,-383.8
2025-04-30 09:40:19,5140.4,-402.6
2025-04-30 09:40:20,5137.8,-417.2
2025-04-30 09:40:21,5135.8,-432.0
2025-04-30 09:40:22,5138.2,-409.0
2025-04-30 09:40:23,5147.8,-321.8
2025-04-30 09:40:24,5152.2,-306.8
2025-04-30 09:40:25,5150.6,-303.4
2025-04-30 09:40:26,5147.8,-339.0
2025-04-30 09:40:27,5143.2,-371.4
2025-04-30 09:40:28,5147.0,-338.2
2025-04-30 09:40:29,5158.0,-251.0
2025-04-30 09:40:30,5148.8,-331.4
2025-04-30 09:40:31,5152.4,-303.0
2025-04-30 09:40:32,5150.6,-311.8
2025-04-30 09:40:33,5152.0,-304.8
2025-04-30 09:40:34,5152.0,-306.0
2025-04-30 09:40:35,5167.6,-187.2
2025-04-30 09:40:36,5157.2,-270.8
2025-04-30 09:40:37,5154.0,-292.0
2025-04-30 09:40:38,5144.0,-368.0
2025-04-30 09:40:39,5139.6,-399.2
2025-04-30 09:40:40,5135.4,-422.4
2025-04-30 09:40:41,5138.0,-416.2
2025-04-30 09:40:42,5129.0,-473.6
2025-04-30 09:40:43,5132.0,-436.2
2025-04-30 09:40:44,5126.6,-478.8
2025-04-30 09:40:45,5134.8,-408.2
2025-04-30 09:40:46,5149.0,-301.0
2025-04-30 09:40:47,5161.4,-216.0
2025-04-30 09:40:48,5158.0,-257.6
2025-04-30 09:40:49,5139.6,-409.0
2025-04-30 09:40:50,5146.4,-327.6
2025-04-30 09:40:51,5151.2,-288.4
2025-04-30 09:40:52,5144.6,-345.8
2025-04-30 09:40:53,5147.0,-321.8
2025-04-30 09:40:54,5153.4,-274.2
2025-04-30 09:40:55,5156.2,-258.4
2025-04-30 09:40:56,5154.6,-268.2
2025-04-30 09:40:57,5154.2,-273.2
2025-04-30 09:40:58,5156.8,-255.4
2025-04-30 09:40:59,5161.4,-220.6
2025-04-30 09:41:00,5163.0,-209.6
2025-04-30 09:41:01,5166.4,-190.2
2025-04-30 09:41:02,5158.8,-250.2
2025-04-30 09:41:03,5154.0,-282.2
2025-04-30 09:41:04,5148.0,-329.8
2025-04-30 09:41:05,5145.4,-341.2
2025-04-30 09:41:06,5150.0,-306.8
2025-04-30 09:41:07,5152.2,-292.8
2025-04-30 09:41:08,5153.0,-286.0
