ConstantPower,duration,latency,measured_voltage,measured_current,measure_latency,latest_measure,DateTime,BMS,circuit,Vcc,Vout,Imon,Vin1,Vin2,Vin3,ADC_Vcc,ADC_Vout,ADC_Imon,ADC_Vin1,ADC_Vin2,ADC_Vin3,load,charge,eng_ignite,dcac,fan,under_voltage,over_voltage,timepoint,SOC,SOH,SOP,SOE,PackVolt,Current,Cell00,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,MinCellVolt,MaxCellVolt,MaxTemp,MinTemp,error,ChargeOC,DischargeOC,OverTemp,UnderTemp,opmode,opmode_fb,output,output_fb,heat_required,cool_required,OutRad,InRad,HighTemp,LowTemp
0.00,1,20,23.94,0.00,27 ms,2025-04-30 09:25:22.369,2025-04-30 09:25:22.483,2025-04-30 09:25:21.995,2025-04-30 09:25:22.025,4.97,-0.00,-0.01,-6.32,-0.01,-4.18,4.97,2.48,-0.01,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972722462,595,997,0,59,5305,0,3793,3795,3795,3791,3794,3798,3791,3788,3787,3787,3783,3782,3787,3779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3798,3779,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:22.685,2025-04-30 09:25:22.685,2025-04-30 09:25:22.603,2025-04-30 09:25:22.501,4.97,-0.04,-0.03,-6.34,-0.02,-4.20,4.97,2.48,-0.02,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972722664,595,997,0,59,5306,0,3794,3796,3796,3793,3795,3799,3792,3789,3789,3788,3785,3783,3788,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3799,3780,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:22.868,2025-04-30 09:25:22.879,2025-04-30 09:25:22.603,2025-04-30 09:25:22.501,4.97,-0.04,-0.03,-6.34,-0.02,-4.20,4.97,2.48,-0.02,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972722858,595,997,0,59,5306,0,3794,3796,3796,3793,3795,3799,3792,3789,3789,3788,3785,3783,3788,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3799,3780,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:23.080,2025-04-30 09:25:23.080,2025-04-30 09:25:22.603,2025-04-30 09:25:22.971,4.97,-0.07,-0.03,-6.33,-0.03,-4.21,4.97,2.48,-0.01,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972723060,595,997,0,59,5306,0,3794,3796,3796,3793,3795,3799,3792,3789,3789,3788,3785,3783,3788,3780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3799,3780,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:23.284,2025-04-30 09:25:23.285,2025-04-30 09:25:23.192,2025-04-30 09:25:22.971,4.97,-0.07,-0.03,-6.33,-0.03,-4.21,4.97,2.48,-0.01,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972723264,595,997,0,59,5308,0,3795,3797,3797,3794,3796,3800,3794,3790,3789,3789,3785,3784,3789,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3781,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:23.478,2025-04-30 09:25:23.479,2025-04-30 09:25:23.192,2025-04-30 09:25:23.445,4.97,-0.04,-0.03,-6.34,-0.02,-4.22,4.97,2.48,-0.02,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972723458,595,997,0,59,5308,0,3795,3797,3797,3794,3796,3800,3794,3790,3789,3789,3785,3784,3789,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3781,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,19 ms,2025-04-30 09:25:23.683,2025-04-30 09:25:23.683,2025-04-30 09:25:23.192,2025-04-30 09:25:23.445,4.97,-0.04,-0.03,-6.34,-0.02,-4.22,4.97,2.48,-0.02,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972723653,595,997,0,59,5308,0,3795,3797,3797,3794,3796,3800,3794,3790,3789,3789,3785,3784,3789,3781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3781,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:23.877,2025-04-30 09:25:23.877,2025-04-30 09:25:23.796,2025-04-30 09:25:23.445,4.97,-0.04,-0.03,-6.34,-0.02,-4.22,4.97,2.48,-0.02,1.65,2.48,1.71,0,0,0,0,0,false,false,1745972723857,595,997,0,59,5308,0,3796,3797,3797,3794,3796,3800,3794,3790,3790,3790,3786,3785,3789,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3782,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:24.051,2025-04-30 09:25:24.081,2025-04-30 09:25:23.796,2025-04-30 09:25:23.913,4.97,-0.05,-0.03,-6.34,-0.00,-4.23,4.97,2.48,-0.01,1.65,2.49,1.70,0,0,0,0,0,false,false,1745972724061,595,997,0,59,5308,0,3796,3797,3797,3794,3796,3800,3794,3790,3790,3790,3786,3785,3789,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3782,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,3,50,23.95,0.00,20 ms,2025-04-30 09:25:24.285,2025-04-30 09:25:24.285,2025-04-30 09:25:23.796,2025-04-30 09:25:23.913,4.97,-0.05,-0.03,-6.34,-0.00,-4.23,4.97,2.48,-0.01,1.65,2.49,1.70,0,0,0,0,0,false,false,1745972724264,595,997,0,59,5308,0,3796,3797,3797,3794,3796,3800,3794,3790,3790,3790,3786,3785,3789,3782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3800,3782,220,220,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
