ConstantPower,duration,latency,measured_voltage,measured_current,measure_latency,latest_measure,DateTime,BMS,circuit,Vcc,Vout,Imon,Vin1,Vin2,Vin3,ADC_Vcc,ADC_Vout,ADC_Imon,ADC_Vin1,ADC_Vin2,ADC_Vin3,load,charge,eng_ignite,dcac,fan,under_voltage,over_voltage,timepoint,SOC,SOH,SOP,SOE,PackVolt,Current,Cell00,Cell01,Cell02,Cell03,Cell04,Cell05,Cell06,Cell07,Cell08,Cell09,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,MinCellVolt,MaxCellVolt,MaxTemp,MinTemp,error,ChargeOC,DischargeOC,OverTemp,UnderTemp,opmode,opmode_fb,output,output_fb,heat_required,cool_required,OutRad,InRad,HighTemp,LowTemp
0.00,3,20,23.95,0.00,20 ms,2025-04-30 09:45:06.847,2025-04-30 09:45:06.878,2025-04-30 09:45:06.696,2025-04-30 09:45:06.862,4.97,-0.14,-0.04,-6.35,0.00,-2.21,4.97,2.48,-0.02,1.65,2.49,2.08,0,0,0,0,0,false,false,1745973906857,515,997,0,51,5161,0,3691,3693,3693,3688,3691,3694,3688,3686,3685,3685,3681,3680,3684,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3676,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,28 ms,2025-04-30 09:45:06.897,2025-04-30 09:45:07.079,2025-04-30 09:45:06.696,2025-04-30 09:45:06.862,4.97,-0.14,-0.04,-6.35,0.00,-2.21,4.97,2.48,-0.02,1.65,2.49,2.08,0,0,0,0,0,false,false,1745973907058,515,997,0,51,5161,0,3691,3693,3693,3688,3691,3694,3688,3686,3685,3685,3681,3680,3684,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3676,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,20 ms,2025-04-30 09:45:07.260,2025-04-30 09:45:07.281,2025-04-30 09:45:06.696,2025-04-30 09:45:06.862,4.97,-0.14,-0.04,-6.35,0.00,-2.21,4.97,2.48,-0.02,1.65,2.49,2.08,0,0,0,0,0,false,false,1745973907260,515,997,0,51,5161,0,3691,3693,3693,3688,3691,3694,3688,3686,3685,3685,3681,3680,3684,3676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3694,3676,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,20 ms,2025-04-30 09:45:07.461,2025-04-30 09:45:07.482,2025-04-30 09:45:07.290,2025-04-30 09:45:07.334,4.97,-0.16,-0.05,-6.35,0.01,-2.22,4.97,2.47,-0.02,1.65,2.49,2.08,0,0,0,0,0,false,false,1745973907461,515,997,0,51,5162,0,3692,3694,3694,3689,3691,3695,3689,3686,3685,3686,3681,3680,3685,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695,3677,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,22 ms,2025-04-30 09:45:07.663,2025-04-30 09:45:07.684,2025-04-30 09:45:07.290,2025-04-30 09:45:07.334,4.97,-0.16,-0.05,-6.35,0.01,-2.22,4.97,2.47,-0.02,1.65,2.49,2.08,0,0,0,0,0,false,false,1745973907663,515,997,0,51,5162,0,3692,3694,3694,3689,3691,3695,3689,3686,3685,3686,3681,3680,3685,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695,3677,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,20 ms,2025-04-30 09:45:07.855,2025-04-30 09:45:07.876,2025-04-30 09:45:07.290,2025-04-30 09:45:07.810,4.97,-0.14,-0.05,-6.33,0.01,-2.23,4.97,2.48,-0.03,1.65,2.49,2.07,0,0,0,0,0,false,false,1745973907855,515,997,0,51,5162,0,3692,3694,3694,3689,3691,3695,3689,3686,3685,3686,3681,3680,3685,3677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3695,3677,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,20 ms,2025-04-30 09:45:08.047,2025-04-30 09:45:08.077,2025-04-30 09:45:07.902,2025-04-30 09:45:07.810,4.97,-0.14,-0.05,-6.33,0.01,-2.23,4.97,2.48,-0.03,1.65,2.49,2.07,0,0,0,0,0,false,false,1745973908057,515,997,0,51,5163,0,3693,3694,3694,3690,3692,3696,3690,3687,3686,3687,3682,3681,3685,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3696,3678,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,30 ms,2025-04-30 09:45:08.289,2025-04-30 09:45:08.289,2025-04-30 09:45:07.902,2025-04-30 09:45:07.810,4.97,-0.14,-0.05,-6.33,0.01,-2.23,4.97,2.48,-0.03,1.65,2.49,2.07,0,0,0,0,0,false,false,1745973908258,515,997,0,51,5163,0,3693,3694,3694,3690,3692,3696,3690,3687,3686,3687,3682,3681,3685,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3696,3678,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,20 ms,2025-04-30 09:45:08.450,2025-04-30 09:45:08.481,2025-04-30 09:45:07.902,2025-04-30 09:45:08.291,4.97,-0.16,-0.04,-6.34,0.00,-2.23,4.97,2.48,-0.02,1.65,2.49,2.07,0,0,0,0,0,false,false,1745973908460,515,997,0,51,5163,0,3693,3694,3694,3690,3692,3696,3690,3687,3686,3687,3682,3681,3685,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3696,3678,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
0.00,2,49,23.95,0.00,20 ms,2025-04-30 09:45:08.651,2025-04-30 09:45:08.682,2025-04-30 09:45:08.500,2025-04-30 09:45:08.291,4.97,-0.16,-0.04,-6.34,0.00,-2.23,4.97,2.48,-0.02,1.65,2.49,2.07,0,0,0,0,0,false,false,1745973908662,515,997,0,51,5164,0,3693,3695,3695,3690,3693,3697,3690,3688,3687,3687,3683,3681,3685,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3697,3678,230,230,0,0,0,0,0,true,true,16,32,0,0,0,0,0,0
